course_id,lecture_id,course_title,lecture_title
course_443,lecture_9228,SharePoint - Complete Guide to Microsoft SharePoint Online,Power Apps development environment
course_888,lecture_9518,A Beginners Guide To Telecom BSS/OSS for Mobile Networks,What is Information Technology Infrastructure Library (ITIL)
course_1819,lecture_537,Top 150+ QA Automation Interview Questions & Resume Tips,Part 5-  SQL Interview Questions
course_687,lecture_1534,IBM App Connect Enterprise 12 (ACE) Development,Refer MQEndpoint policy in MQ nodes to accept by Integration server
course_1239,lecture_4202,RESTful Services in Oracle APEX - The Complete Guide (2023),Defining Handler(s)
course_526,lecture_7912,WebdriverIO - Complete Beginner Course 2023,Search Feature
course_536,lecture_3791,Selenium WebDriver with Java -Basics to Advanced+Frameworks,Handle Dynamic dropdowns with Webdriver API
course_1044,lecture_7434,Be a Great Mentor: A Practical Guide to Mentorship,Exercise: Mentor inventory
course_2002,lecture_5300,Power Apps - Complete Guide to Microsoft PowerApps,Combining image with pen inputs
course_564,lecture_3287,Progressive Web Apps (PWA) - The Complete Guide,PWAs and Browser Support
course_2037,lecture_7183,The Complete YouTube Course by YouTubers with 100mn+ Views,How to Edit Using Premiere Pro Part 1
course_2165,lecture_4836,Analytics Engineering Bootcamp,Data Lake
course_928,lecture_1125,Java Debugging With IntelliJ IDEA,Important points on Spring Boot and JDK Compatibility
course_797,lecture_4304,200+ SQL Interview Questions,Optimize a SQL Statement - Very Important Question
course_305,lecture_8892,"Cloud-Native: Microservices, Kubernetes, Service Mesh, CI/CD",Step 7. Create Kubernetes Cluster Dashboard on Grafana
course_45,lecture_8592,Mastering SharePoint Framework SPFx Development,Display List Items of a List using React - Part 1
course_2193,lecture_1883,ISTQB Foundation Level Complete Training,1.4 Test Process Questions #1-6
course_917,lecture_3095,Maven Crash Course,Spring Boot in action
course_790,lecture_2281,Master Azure Web Apps - Take Java Spring Boot Apps to Azure,Step 02 - Running MySQL as Docker Container on Local
course_1975,lecture_1260,SAP MM - Materials Management Full Course,"Third Party Process, MM-SD Integration (Session_1)"
course_1015,lecture_4895,SAP HANA Administration,SAP HANA Documentation and Support
course_2184,lecture_8273,Build Production Ready REST API in Spring Boot - Expense App,Create Simple Java Program and Write the Dockerfile
course_1794,lecture_916,"Data Engineering Essentials using SQL, Python, and PySpark",Introduction to SQL for Data Engineering
course_1246,lecture_8729,Microsoft Intune Training (Includes Self Practice LABs),End User Experience - Windows Device Enroll Corporate Device  to Intune
course_574,lecture_2921,SAP S/4HANA Finance & Controlling - Configuration & End User,Customer Master Data with Sales Organization Segment (End-User)
course_1870,lecture_2536,SAP CPI for beginners with hands-on,Message Mapping - Functions
course_1584,lecture_1235,Power BI - Business Intelligence for Beginners to Advance,"Power BI : Best Practices, Tips and Tricks 5"
course_1412,lecture_5005,Learn to Code with Python,The copy Method
course_474,lecture_2336,Zendesk for Customer Service Agents-Complete Training Course,Ticket response options
course_1687,lecture_6108,Spark and Python for Big Data with PySpark,Databricks Setup
course_1998,lecture_7847,"The Ultimate React Course 2024: React, Redux & More",Building the Dashboard Layout
course_1570,lecture_811,Oracle Fusion Technical - Oracle Integration Cloud (OIC/ICS),Archive the File
course_844,lecture_8600,UiPath 2023 - Level 1 RPA Developer,Flow Switch: A choice with multiple options
course_734,lecture_32,AZ-305 Designing Microsoft Azure Infrastructure with SIMS!,Introduction to deploying a DevOps application to an App Service
course_2091,lecture_6262,Complete Microsoft SQL Server Database Administration Course,Welcome to Deep Dive into MSSQL working
course_558,lecture_7859,Oracle Database Administration Workshop ( 12c and Higher),Oracle DB editions
course_1463,lecture_3354,Prepare for the Salesforce Certified Associate Exam,Mulesoft
course_1069,lecture_8685,SAP Activate Project Manager Masterclass (C_ACTIVATE_22/13),S4HANA System Conversion
course_57,lecture_3165,LlamaIndex: Train ChatGPT (& other LLMs) on Custom Data,Basic info about LLMs
course_1486,lecture_855,[2023] IT Asset Management (ITAM)— Software Asset Management,First Steps of Implementing Software Asset Management (SAM)
course_88,lecture_8522,Mastering VMware PowerCLI: Automating Virtualization Tasks,Create and Manage Datacenters
course_673,lecture_6079,Docker for Node.js Projects From a Docker Captain,Assignment Answers: Building a 3-Stage Dockerfile
course_2272,lecture_8421,ISTQB Certified Tester - Foundation Level 2023 - Accredited,Testing vs Quality Assurance
course_2265,lecture_7468,Practical Aspects of Information System Audit (For Beginner),Introduction to Information System Audit
course_2347,lecture_9515,Become the Ultimate Certified MuleSoft Architect - MCIA/MCPA,MuleSoft CI/CD Pipeline
course_409,lecture_5278,Practical Software Testing 2023-Manual+JIRA+API+DB+Selenium,Report a new defect in JIRA
course_49,lecture_100,Spring Framework 6: Beginner to Guru,Save CSV Data to Database
course_503,lecture_370,Business Analysis Modeling Skills & Techniques,Introduction to Use Cases
course_1792,lecture_195,SAP FICO For Beginners - A Guide to SAP Financial Accounts,Reconciliation Ledger Number Ranges in SAP FICO
course_2240,lecture_3329,Terraform on AWS with SRE & IaC DevOps | Real-World 20 Demos,Step-05: Part-1: Create EC2 Instance Resource in Terraform
course_2040,lecture_3426,Docker for Java Developers,GitHub Workflow
course_1051,lecture_4781,The Complete Adobe Premiere Pro Video Editing Bootcamp,Assemble Your First Movie - Your First Montage
course_2333,lecture_8074,SAP : Supply Chain Logistics & Transportation in S/4 HANA,SAP Transportation Management (TM) - Multimodel Demo
course_2223,lecture_1866,Master Data Engineering using Azure Data Analytics,Conclusion to Getting Started with Azure Data Factory
course_575,lecture_4858,Complete UiPath RPA Developer Course: Build 7 Robots,Assigning file paths
course_2132,lecture_2758,AWS Certified Solutions Architect Professional SAP-C02,AWS Application Migration Service (MGN)
course_135,lecture_4581,Certified Internal Auditor (CIA) Part 2 - Full Study Course,Questions on Internal Control Environment Audits
course_2219,lecture_4416,Selenium WebDriver: Selenium Automation Testing with Python,Using Implicit Wait | Selenium WebDriver with Python
course_1086,lecture_2050,Chatbot Development Full-Cycle: From Concept to Growth,Unpacking Rule-Based Chatbots
course_718,lecture_9015,Looker - Complete Guide to Google Looker - User and Analyst,Loading sample data into your Looker instance 1
course_1285,lecture_6714,Data Center Essentials: General Introduction,Data Center Equipment
course_1989,lecture_8123,Complete Windows 11 with Microsoft Copilot Masterclass,Microsoft Authenticator on Phone
course_1854,lecture_8455,The Complete Guide to the Global Capital Markets,Fixed Income Securities: Sources of Return and Types of Risk
course_35,lecture_2851,SAP S/4 HANA Basics and S/4 HANA Production Planning Module,MRP Overview & Technical Process
course_1559,lecture_2979,Graphic Design Masterclass Intermediate: The NEXT Level,Online Website - Portfolio
course_499,lecture_1247,"5G: Technologies, Architecture And Protocols",What is Meant by Control Plane and User Plane Separation
course_1773,lecture_417,"Learn 5 PLCs in a Day-AB, Siemens, Schneider, Omron & Delta",Introduction to Delta 12SE PLC
course_666,lecture_2853,PL-100: Microsoft Power Platform Apps Maker,* Embed canvas apps in Power BI reports and dashboards
course_1177,lecture_6260,Google Cloud Professional Cloud Architect: GCP Certification,Live Migration in GCP
course_401,lecture_2787,Fundamentals of Analyzing Real Estate Investments,Introduction to Commercial Real Estate
course_84,lecture_656,Learn SQL Using PostgreSQL: From Zero to Hero,PRIMARY KEY Constraint
course_571,lecture_7675,Data Warehouse Developer-SQL Server/ETL/SSIS/SSAS/SSRS/T-SQL,What is data warehouse
course_1103,lecture_1121,Python Programming for AWS - Learn Python with AWS and Boto3,Introduction to AWS Services using Python
course_506,lecture_9290,Excel Dashboard and Data Analysis Masterclass,Importing Data from Microsoft Access
course_1790,lecture_8598,"Business Analysis Fundamentals - ECBA, CCBA, CBAP endorsed",Business Rules
course_154,lecture_625,Python for Machine Learning & Data Science Masterclass,Pandas Input and Output - HTML Tables
course_705,lecture_1921,AWS Certified Solutions Architect Associate - SAA C03,Step 11 - Exploring AWS Step Functions
course_1698,lecture_3532,Nginx - Beginner to Advanced,Overview of Reverse Proxy Setup
course_480,lecture_5782,Become a 10x Product Marketing Manager with AI & ChatGPT,SQL Queries
course_630,lecture_1828,Data Engineering for Beginner using Google Cloud & Python,More Fact & Dimension Table
course_1923,lecture_9500,"REST Microservices with Spring Boot, Maven, JPA and Docker",Processing files with streams
course_2272,lecture_648,ISTQB Certified Tester - Foundation Level 2023 - Accredited,Test Process - Introduction
course_1634,lecture_3561,Essential Excel for Business Analysts and Consultants,How to create a waterfall chart
course_1614,lecture_9198,DP-100: Azure Machine Learning & Data Science Exam Prep 2023,Azure Machine Learning Studio
course_1933,lecture_3776,Data Structure & Algorithm using C++ : Zero To Mastery 2023,Trees Introduction
course_1648,lecture_1821,Automated Software Testing with Playwright,Create Cucumber + Playwright Project
course_1388,lecture_8587,Azure Serverless Integration Services Track,Managed Identities
course_352,lecture_5126,Active Directory on Windows Server,Certificate services console
course_847,lecture_3185,Prepare for the (ISC)2 CCSP exam! - All six domains!,Building Secure Data Center
course_1111,lecture_7233,DP-300: Administering Microsoft Azure SQL Solutions (DBA),94. Testing log shipping and troubleshooting
course_55,lecture_2043,Google Cloud Developer - GCP Professional Certification,Step 05 - Understanding Cloud Spanner Client Libraries
course_1718,lecture_4094,Spring 6 & Spring Boot 3 for Beginners (Includes 5 Projects),How Spring MVC Works Internally
course_500,lecture_2256,Robot Framework Test Automation - Level 1 ( Selenium ),Install Robot Framework & Selenium Library
course_53,lecture_2387,Outlook 13/16/19 Like a Boss. The Complete Course.,Manage Email Rules
course_1302,lecture_4483,AZ-801 Configuring Windows Server Hybrid Advanced Services,Recover VMs to new Azure Virtual Machines
course_705,lecture_214,AWS Certified Solutions Architect Associate - SAA C03,Step 06 - Getting Started with Amazon CloudWatch
course_1026,lecture_9013,"Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOps","Step 03 - Exploring Azure DevOps Boards - Epics, Features and User Stories"
course_1378,lecture_1746,C# .NET Core 8 with MS SQL Complete Beginner to Master 2023,JWT Token Creation
course_721,lecture_4605,AZ-900 Microsoft Azure Fundamentals in a Weekend,Step 14 - Exploring Azure In Memory Database - Azure Cache for Redis
course_578,lecture_6928,C# 10 | Ultimate Guide - Beginner to Advanced | Master class,.NET Framework Architecture
course_1332,lecture_2802,Real time Full Azure training for System Administrators,Azure Policy - Overview and Demo
course_664,lecture_568,AZ-400 Designing and Implementing DevOps Certification 2022,Azure Boards App with GitHub
course_2285,lecture_6697,"Social Media Film School: TikTok, Instagram, YouTube & AI",Instagram Reels Version 2: Edit Using the Instagram App
course_1610,lecture_8040,Microsoft Azure: From Zero to Hero - The Complete Guide,App Service Logs
course_713,lecture_6527,Javascript Tutorial and Projects Course,Scroll HTML
course_1791,lecture_958,The Complete Flutter Development Bootcamp with Dart,Authenticating Users with FirebaseAuth
course_814,lecture_8736,AZ-204: Developing Solutions for Microsoft Azure - NEW,Lab - Azure Service Bus Queue - Azure Functions
course_24,lecture_1364,SAP : Supply Chain Logistics in R/3,SAP Outbound Delivery Creation - Deepdive
course_814,lecture_6012,AZ-204: Developing Solutions for Microsoft Azure - NEW,Lab - .NET - Azure Table Storage - Add Entity
course_1269,lecture_2868,Salesforce Devops With Salesforce DX,Setup OpenSSL to generate signed certificate
course_1438,lecture_2966,Complete Python Bootcamp For Everyone From Zero to Hero 2023,Project 5: Trip Cost Calculator - Python Programming
course_1035,lecture_5548,Practical Kubernetes Guide,Overview for Monitoring Kubernetes using Datadog
course_2302,lecture_2870,React Redux Ecommerce - Master MERN Stack Web Development,Category Create and List
course_1785,lecture_3611,AZ-500 Microsoft Azure Security Technologies with SIMS,Create an app registration
course_403,lecture_4487,Microsoft Excel Pro Tips: Go from Beginner to Advanced Excel,Navigating Workbooks with CTRL Shortcuts
course_2227,lecture_3548,Scrum for Beginners + Scrum Master Certification Preparation,How is the Scrum Master serving the Organization
course_785,lecture_7192,Prometheus Alerting and Monitoring,Setup Prometheus Dashboards
course_488,lecture_276,Adobe Illustrator CC – Advanced Training Course,Using Color Themes in Adobe Illustrator CC
course_814,lecture_2410,AZ-204: Developing Solutions for Microsoft Azure - NEW,Comparison with Azure Service Bus
course_306,lecture_2157,Excel Charts - Visualization Secrets for Impressive Charts,Conditionally Color Neg/Pos Columns & Data Labels
course_978,lecture_4577,"Microservices with Spring Boot, Spring Cloud, Docker, K8s",Debugging in Docker
course_1220,lecture_3061,Gutenberg Blocks for WordPress and React Developers,Displaying the Image in the Save Function (Front-end)
course_2297,lecture_4754,Marketing Analytics Mastery: From Strategy to Application,What is Data Engineering?
course_74,lecture_2067,Python Complete Masterclass for Beginners,Connecting Python to the Database
course_1615,lecture_3999,Ultimate SnowPro Core Certification Course & Exam - 2023/24,Query performance analysis tools - Hands-on
course_123,lecture_4751,Java 11 For Complete Beginners,LinkedList
course_2386,lecture_5600,Asp.Net Core 7 (.NET 7)  | True Ultimate Guide,Migrations
course_1389,lecture_6805,Selenium Java Test Framework & Best Practices - Masterclass,Execute Automation using Maven Command Line
course_1111,lecture_1199,DP-300: Administering Microsoft Azure SQL Solutions (DBA),22. Implement a migration between Azure SQL services - export data
course_895,lecture_5735,Fundamentals of Database Engineering,Understanding The SQL Query Planner and Optimizer with Explain
course_2224,lecture_6797,The Full Stack Web Development Bootcamp  2023 - MERN STACK,Testing Endpoints Using Thunder Client
course_555,lecture_3211,The Customer: How to Understand Their Needs (BITE SIZE),How to Understand Customer Needs
course_861,lecture_8384,Apache Kafka Series - Kafka Connect Hands-on Learning,Starting Kafka Connect Cluster using Docker Compose
course_1492,lecture_3667,Learning and Development Tools and Methods,"How to: Personal Development Plans, part 1"
course_1648,lecture_9212,Automated Software Testing with Playwright,Generate PDF Files
course_1325,lecture_5323,Data Center Essentials: Power & Electrical,Data Center Voltages & Components
course_1199,lecture_2659,Google Cloud Associate Cloud Engineer: Get Certified 2023,Google Cloud Computing Services
course_1351,lecture_1218,Inventory Management A-Z: Supply Chain & Business Operations,When to order?
course_1093,lecture_9440,Adobe Premiere Pro CC 2023: Beginner Video Editing,How to Blur Faces in Videos
course_2166,lecture_550,Complete Guide to Web API in .NET 8: Master API Development,Migrate to .NET 5
course_68,lecture_6465,Typescript & React JS Course with React & Typescript Project,React JS App Overview
course_666,lecture_7325,PL-100: Microsoft Power Platform Apps Maker,Embed a canvas app on a form in a model-driven app - Unified Experience
course_1746,lecture_6989,AZ-104: Microsoft Azure Administrator -  Full Course,Azure Active Directory and Powershell
course_59,lecture_2082,SAP SD Training - in Plain English,Condition Technique - Condition Type
course_1575,lecture_9153,ChatGPT & OpenAI APIs: The Comprehensive Guide,Prompt Components and Prompt Engineering
course_673,lecture_9054,Docker for Node.js Projects From a Docker Captain,Multi-stage Docker Builds
course_2282,lecture_7863,Introduction to EDI X12,HIPAA - 837P - Professional Claim
course_704,lecture_4787,Design Thinking & Project Management: 2 in 1 Complete Guides,Team Dynamics and Roles
course_1221,lecture_9284,Gitlab CI CD Hands On | Build your own 50 Gitlab Pipelines,Setup GitLab Runner with Docker
course_2394,lecture_8706,Organic Chemistry: Spectroscopy Master Class,Predicting Chemical Shifts
course_963,lecture_2248,Databricks Certified Machine Learning Associate Exam Guide,Tuning Distributed Training Algorithms (Hyperopt & Apache Spark MLlib) Part 5
course_1870,lecture_6346,SAP CPI for beginners with hands-on,Simulate Message Mapping and other functions
course_2039,lecture_6378,Grafana Beginners to Advance Crash Course || Free Lab Access,Installing and Managing Prometheus
course_2257,lecture_3504,Python for Financial Analysis and Algorithmic Trading,Python Crash Course Exercises
course_1686,lecture_740,Power BI Financial Reporting & Financial Analysis: A to Z,Importing report structure into Power BI & Modelling it with the data
course_831,lecture_7603,Batch Processing with Spring Batch & Spring Boot,Multiple Spring Datasource with MySQL
course_2393,lecture_4105,Grafana,"Create MySQL Data Source, Collector and Dashboard"
course_360,lecture_1671,Java Web Services,Test using SoapUI
course_2333,lecture_7952,SAP : Supply Chain Logistics & Transportation in S/4 HANA,SAP EWM - Technical Overview
course_2105,lecture_7240,Microsoft Excel - Excel from Beginner to Advanced,Introduction to Excel Power Pivot
course_1282,lecture_1813,The Perfect Nginx Server - Ubuntu (22.04) Edition,SSH Key Authentication
course_1079,lecture_4340,Databricks SQL for Data Analysts,Enabling Unity Catalog
course_1276,lecture_5325,Data Management Masterclass - The Complete Course,Data Modeling Process
course_197,lecture_5587,Understanding APIs and RESTful APIs Crash Course,Introduction to RESTful APIs
course_1075,lecture_2064,The Digital Advertising Masterclass 2023,Set Ad Group
course_1996,lecture_5849,DP-203 - Data Engineering on Microsoft Azure 2023,Batch and Real-Time Processing
course_2141,lecture_5870,Spring Boot Fundamentals,More about Spring JMS
course_1627,lecture_8296,Certified Kubernetes Application Developer 2023,Kubernetes Secrets
course_1452,lecture_233,"Deep Learning Computer Vision™ CNN, OpenCV, YOLO, SSD & GANs",Grayscaling - Converting Color Images To Shades of Gray
course_2389,lecture_6999,The Complete Windows PowerShell 5.1/7 : Beginner To Advanced,Powershell Module Path Environment Variable
course_910,lecture_7112,Playwright JS Automation Testing from Scratch with Framework,Cucumber Configuration and setup feature files into Playwright Project
course_1663,lecture_3764,"SAS Programming Advance Certification Course(SAS SQL, Macro)","Proc SQL Views: Create, Describe, and Delete PROC SQL Views"
course_1959,lecture_7788,Snowflake[A-Z] Zero to Hero Masterclass(Core+SQL+API+Visual),Create Views
course_1584,lecture_1855,Power BI - Business Intelligence for Beginners to Advance,Analyze in Excel in Power BI
course_1790,lecture_3711,"Business Analysis Fundamentals - ECBA, CCBA, CBAP endorsed",Types of Business Analyst Roles
course_359,lecture_3071,The Complete Spring Boot Development Bootcamp,Downloading IntelliJ
course_260,lecture_3852,DevOps Beginners to Advanced with Projects - 2023,Multi Stage Dockerfile
course_2010,lecture_7634,.NET Core Microservices - The Complete Guide (.NET 8 MVC),Create Rabbit MQ Consumer Part 1
course_82,lecture_7779,Excel Formulas Made Easy - Learn more than 100 Formulas,Protecting the Formulas on a Worksheet
course_1943,lecture_6961,Prometheus | The Complete Hands-On for Monitoring & Alerting,Exposing Metrics from Python app using Prometheus Client
course_1820,lecture_9164,Azure - HashiCorp Certified: Terraform Associate -70 Demos,Step-03: Create Terraform Storage Account Resource
course_374,lecture_5854,Oracle Database 12c SQL Certified Associate 1Z0-071,"HR Tables Diagram, Joins Clarification"
course_1224,lecture_1708,YOLOv7 YOLOv8: Deep Learning - Computer Vision 2023,Windows: Install YOLOv8 in GPU Mode
course_14,lecture_4949,Salesforce Apex: The Complete Introduction for Beginners,What is a Trigger?
course_1155,lecture_2949,"Microsoft Dynamics 365 (CRM, NAV, AX) Intro Training Course",Dynamics 365 For Financials Important Terminologies
course_1347,lecture_2133,AWS Certified Security Specialty 2023 [NEW],Overview of AWS Secrets Manager
course_62,lecture_993,Learn how to Build High Quality Affiliate Websites,Options for Monetizing a Website
course_1241,lecture_997,Product Owner Fundamentals - IIBA Endorsed,Introducing the Product Owner
course_2217,lecture_3235,AWS Technical Essentials 2023 - Hands-On Training Program,Section 3-9 Amazon S3 Lifecycle Management
course_2127,lecture_1415,WannaBeA CCSP,"Topic 2.7: Plan and Implement Data Retention, Deletion and Archiving Policies"
course_2270,lecture_2730,SAP BTP For Beginners,Understanding SAP ABAP Environment
course_2374,lecture_2760,Git Mastery: Beginner to Expert with GitHub & GitLab,CI/CD Pipeline Basics
course_688,lecture_1616,Selenium Java : Beginner to Advanced [Live Project],Adding Cucumber libraries and Running Feature Files
course_1362,lecture_2304,The Complete 'No Code' Developer Course: Build 23 Projects,Setting Up Your Google Form
course_547,lecture_3840,Core Java Made Easy (Covers the latest Java 18),HashMap Demo
course_310,lecture_2444,Learn Azure DevOps CI/CD pipelines,Introduction to CI/CD for Docker and Kubernetes
course_504,lecture_8028,"Microservices Observability, Resilience, Monitoring on .Net",Adding LoggingDelegatingHandler for Intercepting Microservices Request-Response
course_1337,lecture_7623,Kubernetes with HELM: Kubernetes for Absolute Beginners 2023,Introduction to Istio
course_360,lecture_7243,Java Web Services,Test using SoapUI
course_1990,lecture_9196,Python SDK for Azure Bootcamp,Python and VS Code Setup
course_2336,lecture_8096,"Social Media Marketing Advertising with Dekker, MBA 2023",TikTok Ad Assets
course_1208,lecture_8354,"Selenium WebDriver with Docker, Jenkins & AWS [2023 Update]",Checking Container Logs
course_888,lecture_3892,A Beginners Guide To Telecom BSS/OSS for Mobile Networks,Pre-paid Call Flow in 4G LTE
course_881,lecture_6902,SAP MM -Material Management Simplified For Beginners,Customer Master Configuration
course_1081,lecture_3697,AWS Certified Solutions Architect Associate Training SAA-C03,Amazon RDS Backup and Recovery
course_1696,lecture_2056,Azure Kubernetes Service with Azure DevOps and Terraform,Implement Kubernetes Secrets
course_1598,lecture_3161,"Angular (Full App) with Angular Material, Angularfire & NgRx",Adding Filtering to the Data Table
course_460,lecture_7444,[NEW] AWS Certified SAP on AWS Specialty - Hands On Guide,SAP System Refresh on AWS
course_365,lecture_3509,Cisco Identity Services Engine (ISE) 2.7 Training Part-1/2,Lecture-49:Create User and Computer Certificate Templates in CA Server.
course_648,lecture_7642,Dynatrace Masterclass - The Complete Guide for Beginners,Overview of the Interface
